overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,True,"02 9, 2015",A29ROVDR59S0UJ,B00BPEBG8A,Madmatt7,"The folks who developed this game obviously had absolutely no connection/clue as to what was going on in the previous thief games. All the intelligence, humor, superb story-telling, stylish music and interesting characters have given way to looking goth/emo/cool. I'm guessing this game was developed with the pre-teen crowd in mind. It's that brainless. I'd rather play ""The Metal Age"" 20 times over than this. Very, very disappointed.","Does not deserve the ""Thief"" name.",1423440000,2,{'Platform:': ' PC Online Game Code'},
1.0,True,"12 30, 2015",A13WITJWA68CBR,B00438VWRU,Adventure Reader,"After an hour of play, I am only through six of the puzzles. In fact, I had to look up the solutions to two of the puzzles on internet gaming walkthrough sites.
Here is my assessment of the game so far:
GRAPHICS: The graphics are very lackluster. I understand this is a DS game, but I am using it on the new 3DS XL with the biggest screen and the game still looks fuzzy.
GAMEPLAY: The flow of the games is limited to going to different points on a map and not being able to move to another location until you solve the given puzzle(s). Sometimes you will be tasked with having to find an object in one of the rooms, but the cruddy graphics make it hard to be certain of what or where to click on the screen. However, you can just click all over the screen until the item reveals itself.
OVERALL:
I enjoy games of mystery, hidden objects, puzzle-solving, and problem-solving, and I thought this game would offer these things and a good story. Unfortunately it is a disappointment due to the terrible graphics and the difficulty of some of the puzzles. I give this game 1 star.",Some of the puzzles are just too difficult,1451433600,,,
1.0,True,"04 16, 2018",A3OZ3PHKYV00CE,B01EVTJXM6,Amazonlover2k,"Did not improve my aim and made it harder to use stick due to the outer part of thumb grips circle being raised up, they think that can give better aim?  It only hinders your movement and gets in the way of your true gaming ability, pro gamers and intermediate gamers look elsewere as this is a very bad thumb grip for you and for me an intermedate gamer.",they think that can give better aim? It only hinders your movement and gets ...,1523836800,,,
1.0,False,"02 2, 2016",A25C8U4KMGWQ0V,B004D4YDPC,gta rocks,will not actvate online server down,One Star,1454371200,,{'Platform:': ' PC Download'},
1.0,True,"02 13, 2017",AWUFGW28B002M,B01AWGD1Q6,vic,"This mouse comes packaged in a plastic, reusable box protected in foam surrounding the mouse. Very high quality packaging. However, as much as I want to like this mouse, I just can't. I read the reviews prior to purchase and many of them said the mouse has a tracking/ skipping around issue, however I decided to roll the dice and purchase It despite the rewiews I read. They were correct. This mouse looks beautiful, looks expensive, has adjustable dpi, silent mouse buttons, but it is defective as a mouse itself. It consistently skips around and does this randomly as well, it is not an issue on my end as I tried many different surfaces and still it refuses to just do that simple job. My two year old windows mouse didn't even have a problem with skipping. It feels lightweight, which depending on the person is good or bad. I don't mind it personally, but most of the mouses weight is in the back. Looks nice and seems quality at first sight, however, you need to read the reviews toward the bottom, they will give you the truth. This mouse skips and has major tracking issues.",I really wish It was working...,1486944000,3,,
1.0,False,"06 2, 2014",A1MHB1HRR6VPEH,B006YDPU48,Stephanie,"I am a casual gamer who likes to play video games for fun. When a game is this hard how am i suppose to have fun? The bosses in this freaking game kills you in 2 hits. I am trading this garbage in tomorrow and picking up dragon age because that game is actually fair.

Good day.",Way to hard!!!,1401667200,4,{'Format:': ' Video Game'},
1.0,True,"01 14, 2017",A2G0OLKPEZCICQ,B01GKF824Y,Robert,One of the worst games I have ever played!  Avoid!,Garbage!,1484352000,4,"{'Edition:': ' Standard', 'Platform:': ' Xbox One'}",
1.0,True,"05 3, 2013",A1Z0Z84FDWHTFI,B0084380ZM,teburns81,"Utterly horrible gameplay. It is sad that Atlus got the rights to use the ""Game of Thrones"" franchise name to put together this ""waste of a blue ray disc"". Nothing in this game coincides with the actual book or film (except for the opening theme song). The graphics are very outdated (comparable to PlayStation 1 style - if that). As I said, the gameplay is a joke: There are long delays in the action time it takes for your character to perform an attack. The graphics are so bad, that you can hardly read the screen or tell what colors of buttons are being shown on the screen to tell you how to perform certain attacks. If you do manage to FINALLY execute one of the moves that allows you to progress in the game, I can assure you that this game will only keep you entertained for 30 minutes TOPS (and thats only because I like listening to the entire Intro Music  the authentic music used for the Game of Thrones  Series on HBO. It is identical).
 DO NOT.  I REPEAT - DO NOT - BUY THIS GAME!  There is a reason that this game has been out for less than a year and it is already being sold for a little over 10 bucks.  Pathetic.
I feel sorry for anyone who paid full retail ($59.99) for this game. Atlus should be sued and be forced to refund everyone's money back, in my opinion.",This is quite possibly the worst game I have ever played,1367539200,,,
1.0,False,"08 27, 2010",A2ICW5OUWX2A2V,B001SGZL2W,Ian,"Short Review:

Red Dead Redemption has incredible graphics and fantastic audio, which adds up to create an unparalleled atmosphere that makes you feel like you're really in the wild west.  But the missions and story are mostly boring and forgettable, with pointless side quests, and glitches horrible enough to essentially ruin the game.

Long Review:

Note:  This review is spoiler free with regards to the game's story.

Having all but conquered city based free roaming games, it's no surprise that Rockstar would eventually brand out to try and allow players to conquer other areas, this time taking us back to the turn of the century Wild West, essentially creating Grand Theft Horse.  Instead of fast motorcycles and flashy cars, you have horses and stagecoaches.  And while it sounds like an awesome and unique idea, we get an end product that's very pretty and incredibly atmospheric, but is packed with boring missions and glitches so severe, it at times ruins the game completely.

Red Dead Redemption follows former outlaw John Marston as he heads across the lands of New Austin, the last holdout of the wild west on the Mexican border.  His mission is simple:  His lovely wife and young son have been kidnapped and held hostage by the government, and if he wants to get them back and get a clean break from his former life, he has to hunt down and take out the members of his old gang.

Taking on the role of John, you run around in a massive open ended world where you can go virtually anywhere you want to.  Every western cliche is here, including ramshackle old frontier towns, cactus, giant stone monoliths, forests filled with bears, adobe houses, and even tumbleweeds.  Like every other free roam game, you run around this world to find missions to complete, and thus advance the story.  It's an incredibly beautiful world, as unlike Liberty/Vice/Stilwater city, there are no skyscrapers, no malls, or giant buildings.  Everything here is turn of the century technology, with the biggest building being only two stories tall.  As a result, the world feels massive and virtually endless.  You feel like a tiny ant in the middle of a very large and untamed world, and gives the game an epic feel that very few games can match.

However, Red Dead Redemption has the huge problem of feeling mostly pointless.  Almost all the missions follow this pattern:

1.  Get on a horse and ride halfway across the map with a partner.
2.  Listen to said partner deliver expositional dialogue to advance the plot.
3.  Reach destination.
4.  Kill everyone.
5.  Watch as partner rides off, abandoning you.
6.  Spend several minutes riding to the other side of the map to get your next mission, grumbling at how slow you're going.

As a result, most of the missions are very forgettable.  There are a few exceptions, such as fort assaults, boat rides, etc. but for the most part, the missions do very little to distinguish themselves.  As a result, it feels like you're just slogging through mission after mission, wondering when things are going to get interesting.  Thankfully, the third act of the game does reverse this trend, as there are a few creative and clever missions that are interesting to play through, but it's essentially too little, too late.

Outside of the story, there are a good amount of side missions, where you can become a bounty hunter and track down criminals, help random strangers out, go hunting for treasure, collect flowers, hunt animals, etc. but after a while, I realized that these quests are, in effect, pointless.  You mainly get money and fame/honor for doing them, but you get plenty of money from the story missions, and the fame/honor has barely any effect on the gameplay in general.  You can unlock rewards (such as riding stagecoaches for free), but it takes a long time to do so, and is not worth the effort.  I personally stopped doing all the diversions and side missions halfway through the game, because it felt like a waste of time.

Red Dead's story, like the missions, moves at a near glacial pace.  While the core story will make you want to keep going to find out if John rescues his family or not, it takes forever to get there.  The story contains a ton of fat that could be cut out, from characters who add nothing to the main plot, to virtually everything in Mexico, which has little to no impact on the main story.  It isn't until the third act that there's a sense of real danger and threat, and the drama picks up.  However, it's made worse by the fact that Red Dead makes one of THE worst mistakes a story can make...after the climax, it just doesn't end.  You feel like you've reached the end of the game, only to find that it keeps going and going and going and going.  After an hour of playing pointless, tutorial like missions, I lost my patience and wondered when the hell the game was going to end.  As a result, when the ending FINALLY came, I didn't care at all about what happened.

Then there's the game's many bugs and glitches:  If you hunt around on the internet, you'll come across humorous videos of people flying like birds, midgets acting like cougars, talking coyotes, etc.  However, those videos don't tell you about some of the other, more infuriating bugs.  Among the ones I experienced:

*In one mission, I assisted a group of people in taking over a fortress.  Afterwards, I went exploring and opened a standard chest to get some money.  Then an informant was running away from me, and seconds later, I was wanted for...something, and EVERYONE I had just helped to infiltrate the fortress was trying to kill me.
*Half my inventory would randomly vanish, ruining hours of hunting and searching for goods.
*I save a woman from being raped, and kill her captor.  A guy starts shooting at me, so I kill him in self defense.  For some reason, my honor goes down.
*I rent a room (AKA save/respawn point) in a new town, get involved in a duel and get killed, and get respawned several miles away in some OTHER town.
*John is being attacked by wolves.  I aim and pull the trigger, but John refuses to shoot his fully loaded gun and is torn to shreds.
*I run through a town, when the sheriff, for no reason whatsoever, shoots and kills me.
*The game crashes, making me loose most of my progress.

It's sad really...my first impressions of Red Dead Redemption were fantastic, but the more and more I played, I realized I just wasn't having any fun, and was starting to despise the game for how slow it was going, and how so many things felt pointless and annoying.  Add in how short and badly done the tutorials are (they appear on screen for about fifteen seconds, then vanish, often taking place in real time), John's annoying personality (he acts like Forrest Gump in a cowboy outfit, and I got the impression he was mildly retarded), and with the glitches, my annoyance turned to disgust.

In the end, while Red Dead Redemption is incredibly beautiful and very atmospheric, the story needs much editing and trimming, the missions are forgettable, the annoying characters will get on your nerves, the ending goes on longer then ""The Return of the King"" and the glitches will annoy you to no end.  I personally think Red Dead Redemption is yet another over-hyped game that turns out to be, at best, mediocre, and at worst, infuriating.","Very pretty, but as empty and hollow as a wasteland",1282867200,61,{'Format:': ' Video Game'},
1.0,False,"04 30, 2015",A25DAATK6J2PKQ,B0002CTTR6,ray Miranda,"She cant move, poor play! Tekken5 better",poor play! Tekken5,1430352000,,,
